Автор;Название;Год издания;Издательство, год;Цена, руб;Арт.;Описание
Гудрик-Кларк Николас;Оккультные корни нацизма;1985;Яуза, 2023;389;200489;Был ли оккультизм широко распространен в Третьем рейхе? Почему лидеры тайных обществ стали наставниками лидеров нацистской Германии? Известный английский ученый Николас Гудрик-Кларк (1953-2012) был одним из лучших специалистов по эзотерике. В 1985 г. он опубликовал свою главную книгу "Оккультные корни нацизма", ставшую мировым бестселлером. В этой работе Гудрик-Кларк впервые с научной точки зрения доказал влияние различных германо-арийских идей и обществ на руководство и идеологию нацистов. Пангерманизм, вотанизм, арманизм и ариософия были очень популярны среди немецких националистов, но и нацисты черпали вдохновение в этих идеях и принимали их на вооружение. Гвидо фон Лист, Йорг Ланц фон Либенфельс, Рудольф фон Зеботтендорф и Карл Мария Виллигут повлияли на мировоззрение вождей Третьего рейха. Автор рассказывает, как общества "Туле" и "Эдда", орден новых тамплиеров и другие более мелкие оккультные организации оказались связаны с нацистской партией и почему христианство при Гитлере оказалось в тени оккультизма.
Джордж Оруэлл;1984;1949;Дримбук, 2021;539;804620;Культовый роман Джорджа Оруэлла, одна из главных антиутопий XX века. Жуткий и пугающий текст, и 70 лет спустя не утративший актуальности. Впервые «1984» публикуется на русском языке в новом, полном, без цензуры и купюр, переводе Дарьи Целовальниковой.
Лев Толстой;Война и мир;1869;АСТ, 2020;899;785738;Величайшее произведение мировой литературы, в котором автор мастерски раскрывает темы войны, любви, верности и человеческой судьбы. Роман, охватывающий эпоху Наполеоновских войн, знакомит читателя с судьбами несколько поколений русских аристократов, чьи жизни переплетаются с судьбами простых людей, переживающих одно из самых драматичных и судьбоносных событий в истории. Толстой создал монументальную картину России, полного внутреннего разлада и внешних угроз, где каждый герой сталкивается с личной трагедией и поисками смысла жизни.
Фёдор Достоевский;Преступление и наказание;1866;Эксмо, 2018;849;159320;Это философский триллер, в котором Достоевский исследует моральные дилеммы и тёмные стороны человеческой души. Молодой студент Родион Раскольников решает совершить убийство, убеждая себя, что он имеет право на убийство ради "высшей цели". Роман погружает в глубокие размышления о добре и зле, преступлении и искуплении. Рассматривается не только философская, но и психологическая борьба героя с собственным сознанием, что делает произведение настолько актуальным и современным.
Антуан де Сент-Экзюпери;Маленький принц;1943;Рипол классик, 2015;449;998400;Эта трогательная и мудрая история о путешествиях маленького принца по вселенной является философской сказкой, которая раскрывает самые глубокие человеческие истины. Маленький принц учит нас смотреть на мир глазами ребёнка, не забывать о важности дружбы, любви и ответственности. Сент-Экзюпери, через образы розы и лиса, раскрывает смысл жизни, который заключён не в материальном, а в невидимом и важном. Это книга для взрослых и детей, в которой находится невероятная гармония простоты и глубины.
Харуки Мураками;Кафка на пляже;2002;Время, 2021;629;201488;Сложный и многослойный роман, в котором реальность переплетается с фантастическими элементами. Молодой парень по имени Кафка Тамаки отправляется в путешествие, стремясь найти свой внутренний путь и освободиться от тени своего отца. Вторая сюжетная линия посвящена старому музыканту, который потерял способность говорить, но сохраняет невероятные способности. Мураками в этом произведении снова с лёгкостью сочетает магический реализм, элементы японской культуры и философию, погружая читателя в удивительный мир с тонким психологизмом и поисками самого себя.
Джейн Остин;Гордость и предубеждение;1813;Речь, 2017;539;678901;Этот роман — настоящее произведение искусства в жанре социального романа. В нём Остин ярко и остроумно раскрывает жизнь английского общества конца XVIII — начала XIX века, на фоне которого разворачивается история любви между Элизабет Беннет и мистером Дарси. Остин с удивительным вниманием и сарказмом описывает характеры героев, их пороки и достоинства, в то время как центральная тема произведения — это борьба между личным счастьем и социальными предрассудками, а также уроки гордости, предвзятости и прощения.
Маргарет Этвуд;Рассказ служанки;1985;АСТ, 2018;499;581293;Эта антиутопия представляет собой жуткое будущее, где женщины лишены всех прав и свобод, ставши лишь воспроизводящими устройствами для человеческого рода. Через глаз служанки, Гэйл, читатель видит жестокий и контролируемый мир, где любой акт сопротивления карается жестокой смертью. Этвуд затрагивает актуальные проблемы современности — контроль над телом, права женщин, идеи о гендерных ролях и власти. Этот роман — глубокая и тревожная метафора, предупреждающая о возможных последствиях социального упадка и злоупотреблений властью.
Лев Толстой;Анна Каренина;1877;Эксмо, 2017;799;312456;Этот роман является не только трагической историей о женщине, оказавшейся в центре социального скандала, но и глубокой философской работой, исследующей вопросы любви, верности и морального выбора. В нем ярко отображены особенности русской жизни XIX века, проблемы брака, поисков счастья, а также внутренней борьбы между долгом и желанием. Анна Каренина – это символ любви, страха и внутреннего разлада, который разрушает её жизнь.
Фёдор Достоевский;Братья Карамазовы;1880;АСТ, 2020;799;145678;Один из величайших романов Фёдора Достоевского, в котором затрагиваются глубокие философские вопросы о вере, сомнении, нравственности и судьбе человека. История о трёх братьях, каждый из которых олицетворяет различные философские позиции, раскрывает духовные и моральные поиски человечества, показывая трагическую борьбу между личной свободой и моральными нормами общества.
